"Date","Last","Open","High","Low","Vol.","Change %"
"04/09/2024","42,500","41,000","42,500","41,000","13810000","2.41%"
"30/08/2024","41,500","41,500","41,650","41,100","11320000","0.00%"
"29/08/2024","41,500","40,850","41,500","40,700","9300000","1.47%"
"28/08/2024","40,900","41,700","41,800","40,600","11200000","-1.21%"
"27/08/2024","41,400","40,500","42,300","40,350","18220000","2.22%"
"26/08/2024","40,500","39,850","40,750","39,850","15630000","1.89%"
"23/08/2024","39,750","39,600","40,000","39,350","9340000","-0.13%"
"22/08/2024","39,800","39,750","40,150","39,500","9220000","0.13%"
"21/08/2024","39,750","39,250","39,750","38,900","13660000","0.89%"
"20/08/2024","39,400","38,600","39,800","38,500","17550000","2.07%"
"19/08/2024","38,600","38,600","38,800","38,200","10780000","0.52%"
"16/08/2024","38,400","38,200","38,700","38,000","14800000","1.45%"
"15/08/2024","37,850","37,500","38,300","37,150","17780000","1.75%"
"14/08/2024","37,200","36,350","37,400","36,000","10120000","2.34%"
"13/08/2024","36,350","36,350","36,650","35,850","7150000","-0.41%"
"12/08/2024","36,500","37,150","37,150","36,350","8350000","-1.88%"
"09/08/2024","37,200","37,800","37,800","36,800","8690000","-1.06%"
"08/08/2024","37,600","37,500","38,100","36,950","8830000","1.08%"
"07/08/2024","37,200","36,950","37,200","36,600","36730000","6.90%"
"06/08/2024","34,800","34,800","34,800","34,000","5850000","0.87%"
"05/08/2024","34,500","35,200","35,700","34,000","9960000","-4.17%"
"02/08/2024","36,000","36,050","36,300","34,600","8610000","-1.23%"
"01/08/2024","36,450","36,750","37,000","36,000","6190000","-0.68%"
"31/07/2024","36,700","36,850","37,050","36,650","3720000","0.00%"
"30/07/2024","36,700","37,100","37,200","36,700","4680000","-1.08%"
"29/07/2024","37,100","37,750","37,900","37,100","4360000","-1.72%"
"26/07/2024","37,750","37,800","37,900","37,500","3910000","-0.13%"
"25/07/2024","37,800","37,600","38,300","37,550","6220000","-0.13%"
"24/07/2024","37,850","37,600","37,850","37,400","4430000","0.00%"
"23/07/2024","37,850","37,650","37,950","37,350","4860000","-0.13%"
"22/07/2024","37,900","38,000","38,000","37,300","5140000","0.13%"
"19/07/2024","37,850","37,700","38,200","37,550","6180000","1.07%"
"18/07/2024","37,450","37,250","37,450","36,700","6280000","0.40%"
"17/07/2024","37,300","37,900","37,900","36,800","7030000","-1.58%"
"16/07/2024","37,900","37,800","38,050","37,650","4770000","-0.26%"
"15/07/2024","38,000","38,500","38,500","37,800","4890000","-1.30%"
"12/07/2024","38,500","38,500","38,850","38,300","5140000","0.13%"
"11/07/2024","38,450","38,250","38,700","38,100","8800000","0.52%"
"10/07/2024","38,250","38,350","38,400","37,950","5450000","-0.13%"
"09/07/2024","38,300","38,000","38,300","37,800","8190000","0.79%"
"08/07/2024","38,000","38,150","38,400","37,800","7920000","-1.17%"
"05/07/2024","38,450","38,300","38,500","37,950","6570000","0.00%"
"04/07/2024","38,450","38,100","38,500","37,800","7460000","0.92%"
"03/07/2024","38,100","38,050","38,200","37,700","5230000","-0.13%"
"02/07/2024","38,150","37,750","38,350","37,550","5420000","1.19%"
"01/07/2024","37,700","37,650","37,700","37,100","4520000","0.13%"
"28/06/2024","37,650","37,600","37,750","37,300","5970000","0.13%"
"27/06/2024","37,600","37,500","37,850","37,350","3450000","0.27%"
"26/06/2024","37,500","37,800","38,150","37,500","4540000","-0.79%"
"25/06/2024","37,800","37,300","38,050","37,200","6350000","0.93%"
"24/06/2024","37,450","37,750","38,200","37,100","7670000","-0.79%"
"21/06/2024","37,750","37,750","37,800","37,450","13030000","-0.66%"
"20/06/2024","38,000","37,900","38,000","37,550","7590000","0.00%"
"19/06/2024","38,000","38,300","38,350","37,750","8000000","-0.78%"
"18/06/2024","38,300","38,500","38,500","38,200","6590000","0.00%"
"17/06/2024","38,300","38,250","38,500","37,900","8590000","0.26%"
"14/06/2024","38,200","38,400","38,850","38,050","8590000","-0.13%"
"13/06/2024","38,250","38,550","38,700","38,100","5990000","-0.65%"
"12/06/2024","38,500","38,150","38,850","37,700","12380000","0.92%"
"11/06/2024","38,150","38,900","38,950","38,150","14400000","-1.93%"
"10/06/2024","38,900","39,150","39,200","38,850","6320000","-0.26%"
"07/06/2024","39,000","39,300","39,300","39,000","4520000","-0.13%"
"06/06/2024","39,050","39,400","39,600","39,000","5110000","-0.64%"
"05/06/2024","39,300","39,550","39,900","39,300","6220000","-0.25%"
"04/06/2024","39,400","39,400","40,200","39,400","7960000","0.25%"
"03/06/2024","39,300","39,200","39,400","39,100","5240000","1.16%"
"31/05/2024","38,850","39,200","39,650","38,850","5850000","-0.38%"
"30/05/2024","39,000","39,450","39,500","39,000","6420000","-1.14%"
"29/05/2024","39,450","40,000","40,100","39,450","8030000","-1.25%"
"28/05/2024","39,950","39,850","40,050","39,750","5560000","0.38%"
"27/05/2024","39,800","39,850","40,050","39,750","4620000","0.00%"
"24/05/2024","39,800","40,400","40,550","39,750","12910000","-1.85%"
"23/05/2024","40,550","40,450","40,550","40,100","6390000","0.50%"
"22/05/2024","40,350","40,200","41,650","40,200","11930000","0.37%"
"21/05/2024","40,200","40,500","40,750","40,050","9640000","-0.62%"
"20/05/2024","40,450","41,050","41,250","40,450","9540000","-0.98%"
"17/05/2024","40,850","40,350","41,200","40,200","13310000","1.49%"
"16/05/2024","40,250","40,300","40,400","40,150","8260000","0.00%"
"15/05/2024","40,250","40,200","40,400","40,050","6590000","0.25%"
"14/05/2024","40,150","41,100","41,250","40,150","6870000","0.12%"
"13/05/2024","40,100","40,450","40,550","39,700","9090000","-0.62%"
"10/05/2024","40,350","41,000","41,100","40,350","7280000","-1.47%"
"09/05/2024","40,950","41,000","41,750","40,850","7300000","0.12%"
"08/05/2024","40,900","41,000","41,000","40,500","6630000","-0.37%"
"07/05/2024","41,050","41,250","41,250","40,900","4280000","-0.24%"
"06/05/2024","41,150","41,150","41,200","40,850","4940000","0.12%"
"03/05/2024","41,100","41,300","41,400","40,850","4390000","-0.12%"
"02/05/2024","41,150","40,800","41,250","40,350","4570000","0.86%"
"26/04/2024","40,800","40,400","41,050","40,300","4700000","0.25%"
"25/04/2024","40,700","40,850","40,850","40,400","2990000","0.25%"
"24/04/2024","40,600","40,350","40,900","40,250","5040000","1.00%"
"23/04/2024","40,200","41,000","41,400","40,200","8620000","-3.02%"
"22/04/2024","41,450","41,500","41,800","40,650","9170000","-0.12%"
"19/04/2024","41,500","40,950","41,500","40,300","12530000","-0.72%"
"17/04/2024","41,800","43,000","43,050","41,550","10860000","-2.11%"
"16/04/2024","42,700","42,400","42,800","40,750","16850000","0.71%"
"15/04/2024","42,400","44,500","44,500","42,200","20420000","-4.72%"
"12/04/2024","44,500","44,500","44,800","44,300","16820000","0.79%"
"11/04/2024","44,150","44,250","44,250","43,750","14570000","-0.11%"
