"Date","Last","Open","High","Low","Vol.","Change %"
"01/03/2021","44,842","44,786","45,011","44,504","3190000","0.13%"
"26/02/2021","44,786","44,730","45,573","44,561","3760000","-0.50%"
"25/02/2021","45,011","45,461","45,911","44,561","3280000","-0.50%"
"24/02/2021","45,236","45,461","46,024","44,673","3390000","-0.49%"
"23/02/2021","45,461","45,461","45,517","45,067","3620000","0.00%"
"22/02/2021","45,461","45,236","45,517","44,617","3620000","0.62%"
"19/02/2021","45,180","45,855","46,361","45,011","5170000","-1.47%"
"18/02/2021","45,855","45,180","45,855","44,504","3560000","0.62%"
"17/02/2021","45,573","45,517","45,686","44,392","2670000","2.53%"
"09/02/2021","44,448","44,167","45,236","43,323","3940000","1.67%"
"08/02/2021","43,717","45,011","45,011","42,760","5300000","-3.12%"
"05/02/2021","45,123","46,136","46,361","44,842","4270000","-1.60%"
"04/02/2021","45,855","46,699","46,980","45,461","4970000","-1.81%"
"03/02/2021","46,699","45,348","46,980","44,898","5310000","3.11%"
"02/02/2021","45,292","45,067","45,573","44,561","4270000","0.50%"
"01/02/2021","45,067","45,123","46,586","44,504","4880000","-0.12%"
"29/01/2021","45,123","43,042","45,630","42,929","4470000","5.80%"
"28/01/2021","42,648","44,955","45,517","42,535","14180000","-6.65%"
"27/01/2021","45,686","45,573","46,417","45,011","7730000","0.25%"
"26/01/2021","45,573","45,292","46,417","44,448","6010000","1.25%"
"25/01/2021","45,011","44,673","45,067","44,392","4910000","1.27%"
"22/01/2021","44,448","42,873","45,011","42,198","9930000","4.08%"
"21/01/2021","42,704","41,297","42,985","40,510","6120000","5.42%"
"20/01/2021","40,510","39,947","41,635","39,441","5440000","4.03%"
"19/01/2021","38,941","40,277","40,332","37,272","5610000","-2.37%"
"18/01/2021","39,887","40,054","41,111","39,498","6560000","-1.10%"
"15/01/2021","40,332","41,779","42,001","40,332","12060000","-3.59%"
"14/01/2021","41,834","42,057","42,724","41,667","8480000","-0.53%"
"13/01/2021","42,057","41,945","42,557","41,779","8600000","0.27%"
"12/01/2021","41,945","42,001","43,281","41,612","11880000","-0.13%"
"11/01/2021","42,001","42,001","42,112","41,167","11270000","-0.26%"
"08/01/2021","42,112","40,332","42,224","40,332","9130000","6.17%"
"07/01/2021","39,665","36,994","39,665","36,994","15580000","6.90%"
"06/01/2021","37,106","36,104","37,773","35,993","11680000","2.62%"
"05/01/2021","36,160","36,160","36,605","35,159","12950000","-0.15%"
"04/01/2021","36,215","36,549","37,718","36,104","11750000","-1.36%"
"31/12/2020","36,716","37,161","37,384","36,716","4850000","-1.20%"
"30/12/2020","37,161","37,940","38,385","36,772","5940000","-1.62%"
"29/12/2020","37,773","37,328","39,887","37,272","18990000","1.19%"
"28/12/2020","37,328","36,939","37,384","36,939","7680000","0.90%"
"25/12/2020","36,994","36,716","37,106","36,661","3510000","0.76%"
"24/12/2020","36,716","37,272","37,384","36,160","4030000","-1.49%"
