"Date","Last","Open","High","Low","Vol.","Change %"
"24/03/2022","121,274","122,763","124,087","121,274","912360","-0.27%"
"23/03/2022","121,605","121,440","127,230","120,033","1680000","-1.01%"
"22/03/2022","122,846","120,364","124,914","118,296","1160000","2.41%"
"21/03/2022","119,950","114,904","120,116","114,822","1070000","6.07%"
"18/03/2022","113,084","114,987","118,048","113,084","3050000","-0.94%"
"17/03/2022","114,160","116,641","117,717","114,160","920160","-1.78%"
"16/03/2022","116,228","118,048","118,048","115,814","604680","-0.42%"
"15/03/2022","116,724","112,092","116,724","112,092","1220000","3.67%"
"14/03/2022","112,588","117,634","117,634","110,934","1980000","-4.49%"
"11/03/2022","117,882","123,259","125,328","117,882","1880000","-5.00%"
"10/03/2022","124,087","128,802","130,953","124,087","1490000","-3.54%"
"09/03/2022","128,637","131,118","132,276","127,809","1050000","-2.08%"
"08/03/2022","131,366","130,705","132,442","130,291","761160","0.38%"
"07/03/2022","130,870","132,111","134,345","130,705","1130000","-1.92%"
"04/03/2022","133,435","131,946","134,675","130,705","1440000","1.38%"
"03/03/2022","131,615","131,284","134,014","129,629","903480","1.34%"
"02/03/2022","129,877","128,223","130,705","128,223","987480","0.32%"
"01/03/2022","129,464","129,877","130,291","128,637","432000","0.32%"
"28/02/2022","129,050","130,705","132,276","129,050","512280","-1.27%"
"25/02/2022","130,705","133,186","133,186","130,705","687000","-0.94%"
"24/02/2022","131,946","129,464","134,841","128,719","1190000","1.46%"
"23/02/2022","130,043","130,208","131,946","129,464","551520","-0.19%"
"22/02/2022","130,291","129,298","132,194","129,298","670920","-1.75%"
"21/02/2022","132,607","135,172","135,172","132,442","1150000","-1.84%"
"18/02/2022","135,089","132,359","136,495","131,366","1420000","0.18%"
"17/02/2022","134,841","130,705","134,841","130,456","2010000","3.10%"
"16/02/2022","130,787","132,359","132,359","130,291","987840","-1.50%"
"15/02/2022","132,773","125,576","132,773","124,087","1890000","5.87%"
"14/02/2022","125,410","122,846","125,410","122,515","1110000","1.20%"
"11/02/2022","123,921","124,087","125,328","122,515","585000","0.13%"
"10/02/2022","123,756","122,432","123,756","121,522","1720000","2.05%"
"09/02/2022","121,274","121,191","122,846","119,950","702600","0.76%"
"08/02/2022","120,364","121,109","122,184","119,950","602400","-1.62%"
"07/02/2022","122,349","119,950","122,846","118,296","734280","3.43%"
"28/01/2022","118,296","118,379","121,770","118,296","428280","0.70%"
"27/01/2022","117,469","121,191","121,191","117,469","873240","-3.40%"
"26/01/2022","121,605","127,727","127,727","121,605","1160000","-3.92%"
"25/01/2022","126,568","119,123","126,568","116,724","1260000","6.99%"
"24/01/2022","118,296","122,680","124,252","118,296","1140000","-5.30%"
"21/01/2022","124,914","126,072","126,072","123,425","1040000","1.21%"
"20/01/2022","123,425","124,087","124,914","122,432","1050000","1.15%"
"19/01/2022","122,019","116,807","125,328","116,807","1520000","3.80%"
"18/01/2022","117,551","115,814","125,658","115,401","1050000","0.07%"
"17/01/2022","117,469","119,950","120,612","113,250","995880","-1.93%"
"14/01/2022","119,785","117,551","119,950","117,551","588960","0.00%"
"13/01/2022","119,785","119,950","121,440","117,138","1170000","-0.07%"
"12/01/2022","119,868","120,364","122,267","119,702","1270000","0.00%"
"11/01/2022","119,868","126,568","127,396","119,868","1610000","-5.29%"
"10/01/2022","126,568","128,967","128,967","126,568","534480","-0.65%"
"07/01/2022","127,396","128,967","131,946","127,396","1570000","0.13%"
"06/01/2022","127,230","133,186","133,186","127,230","1980000","-4.47%"
"05/01/2022","133,186","141,459","141,459","133,186","1510000","-5.29%"
"04/01/2022","140,632","141,459","141,459","139,804","1200000","-0.58%"
"31/12/2021","141,459","140,466","141,955","139,556","7850000","-0.29%"
"30/12/2021","141,872","142,286","142,948","139,804","6110000","-0.29%"
"29/12/2021","142,286","141,872","144,023","140,218","7460000","0.29%"
"28/12/2021","141,872","140,218","144,602","138,315","9230000","1.48%"
"27/12/2021","139,804","141,376","144,768","139,060","8540000","-1.17%"
"24/12/2021","141,459","141,459","144,768","139,060","9270000","0.00%"
"23/12/2021","141,459","140,549","144,768","137,819","11840000","0.59%"
"22/12/2021","140,632","138,977","141,459","137,488","10420000","2.04%"
"21/12/2021","137,819","134,014","137,902","132,359","9030000","2.84%"
